Available reserves,Date,Hour,Load shedding,Over generation,Reserve Price DA,Reserve Price RT,Reserve shortfall
744.131432,2020-07-13,22,0.0,0.0,,0.0,0
638.655456,2020-07-13,23,0.0,0.0,,0.0,0
667.06763,2020-07-13,24,0.0,0.0,,0.0,0
1132.58671,2020-07-14,1,0.0,0.0,,0.0,0
1187.791724,2020-07-14,2,0.0,0.0,,0.0,0
1260.016306,2020-07-14,3,0.0,0.0,,0.0,0
1443.750222,2020-07-14,4,0.0,0.0,,0.0,0
1354.445367,2020-07-14,5,0.0,0.0,,0.0,0
1343.394285,2020-07-14,6,0.0,0.0,,0.0,0
1415.544981,2020-07-14,7,0.0,0.0,,0.0,0
1346.734461,2020-07-14,8,0.0,0.0,,0.0,0
1137.00175,2020-07-14,9,0.0,0.0,,0.0,0
1095.523693,2020-07-14,10,0.0,0.0,,0.0,0
1019.158278,2020-07-14,11,0.0,0.0,,0.0,0
849.89632,2020-07-14,12,0.0,0.0,,0.0,0
661.06238,2020-07-14,13,0.0,0.0,,0.0,0
636.80611,2020-07-14,14,0.0,0.0,,0.0,0
759.960145,2020-07-14,15,0.0,0.0,,0.0,0
969.306649,2020-07-14,16,0.0,0.0,,0.0,0
975.344163,2020-07-14,17,0.0,0.0,,0.0,0
735.718352,2020-07-14,18,0.0,0.0,,0.0,0
414.84935,2020-07-14,19,0.0,0.0,,0.0,0
307.43231,2020-07-14,20,0.0,0.0,,0.0,0
484.87905,2020-07-14,21,0.0,0.0,,0.0,0
378.274595,2020-07-14,22,0.0,0.0,,0.0,0
67.24074,2020-07-14,23,0.0,0.0,,0.0,0
219.50486,2020-07-14,24,0.0,0.0,,0.0,0
809.79973,2020-07-15,1,0.0,0.0,,0.0,0
1204.139897,2020-07-15,2,0.0,0.0,,0.0,0
1189.286199,2020-07-15,3,0.0,0.0,,0.0,0
1000.994687,2020-07-15,4,0.0,0.0,,0.0,0
817.807353,2020-07-15,5,0.0,0.0,,0.0,0
708.045386,2020-07-15,6,0.0,0.0,,0.0,0
652.00445,2020-07-15,7,0.0,0.0,,0.0,0
772.200289,2020-07-15,8,0.0,0.0,,0.0,0
711.37966,2020-07-15,9,0.0,0.0,,0.0,0
899.42039,2020-07-15,10,0.0,0.0,,0.0,0
961.476033,2020-07-15,11,0.0,0.0,,0.0,0
801.505556,2020-07-15,12,0.0,0.0,,0.0,0
662.67844,2020-07-15,13,0.0,0.0,,0.0,0
458.336633,2020-07-15,14,0.0,0.0,,0.0,0
405.77519,2020-07-15,15,0.0,0.0,,0.0,0
807.818713,2020-07-15,16,0.0,0.0,,0.0,0
865.63677,2020-07-15,17,0.0,0.0,,0.0,0
918.68849,2020-07-15,18,0.0,0.0,,0.0,0
868.49479,2020-07-15,19,0.0,0.0,,0.0,0
1008.571792,2020-07-15,20,0.0,0.0,,0.0,0
1144.954842,2020-07-15,21,0.0,0.0,,0.0,0
1160.545752,2020-07-15,22,0.0,0.0,,0.0,0
839.60084,2020-07-15,23,0.0,0.0,,0.0,0
834.880396,2020-07-15,24,0.0,0.0,,0.0,0
1119.395161,2020-07-16,1,0.0,0.0,,0.0,0
1401.644854,2020-07-16,2,0.0,0.0,,0.0,0
1415.157396,2020-07-16,3,0.0,0.0,,0.0,0
1243.375735,2020-07-16,4,0.0,0.0,,0.0,0
1328.907741,2020-07-16,5,0.0,0.0,,0.0,0
1418.855517,2020-07-16,6,0.0,0.0,,0.0,0
1430.090724,2020-07-16,7,0.0,0.0,,0.0,0
1283.161416,2020-07-16,8,0.0,0.0,,0.0,0
1163.118804,2020-07-16,9,0.0,0.0,,0.0,0
1040.533546,2020-07-16,10,0.0,0.0,,0.0,0
796.957304,2020-07-16,11,0.0,0.0,,0.0,0
372.761857,2020-07-16,12,0.0,0.0,,0.0,0
267.18373,2020-07-16,13,0.0,0.0,,0.0,0
536.821408,2020-07-16,14,0.0,0.0,,0.0,0
570.29876,2020-07-16,15,0.0,0.0,,0.0,0
486.677988,2020-07-16,16,0.0,0.0,,0.0,0
640.381413,2020-07-16,17,0.0,0.0,,0.0,0
694.235328,2020-07-16,18,0.0,0.0,,0.0,0
466.44956,2020-07-16,19,0.0,0.0,,0.0,0
248.221583,2020-07-16,20,0.0,0.0,,0.0,0
344.66791,2020-07-16,21,0.0,0.0,,0.0,0
436.72854,2020-07-16,22,0.0,0.0,,0.0,0
484.51057,2020-07-16,23,0.0,0.0,,0.0,0
528.285661,2020-07-16,24,0.0,0.0,,0.0,0
