Date,Flow,Hour,Line
2020-07-10,20.594273,2,A4
2020-07-10,31.676967,2,A5
2020-07-10,71.262702,2,A6
2020-07-10,-188.85681,2,A7
2020-07-10,-14.439045,2,A8
2020-07-10,10.198558,2,A9
2020-07-10,98.027287,2,AB1
2020-07-10,110.88377,2,AB2
2020-07-10,219.53585,2,AB3
2020-07-10,11.184495,2,B1
2020-07-10,-52.972976,2,B10
2020-07-10,-65.003928,2,B11
2020-07-10,-87.535362,2,B12-1
2020-07-10,-66.393939,2,B13-2
2020-07-10,-62.749619,2,B14
2020-07-10,-91.181181,2,B15
2020-07-10,-104.27741,2,B16
2020-07-10,-132.70898,2,B17
2020-07-10,-66.680986,2,B18
2020-07-10,-100.34605,2,B19
2020-07-10,-48.848438,2,B2
2020-07-10,-16.925754,2,B20
2020-07-10,-206.9644,2,B21
2020-07-10,-221.41507,2,B22
2020-07-10,-201.23214,2,B23
2020-07-10,0.583384,2,B24
2020-07-10,-65.726809,2,B25-1
2020-07-10,-65.726809,2,B25-2
2020-07-10,104.52904,2,B26
2020-07-10,-140.16177,2,B27
2020-07-10,-50.490133,2,B28
2020-07-10,98.699661,2,B29
2020-07-10,20.708883,2,B3
2020-07-10,-19.325579,2,B30
2020-07-10,-37.235401,2,B31-1
2020-07-10,-37.235401,2,B31-2
2020-07-10,-72.30791,2,B32-1
2020-07-10,-72.30791,2,B32-2
2020-07-10,-105.58992,2,B33-1
2020-07-10,-105.58992,2,B33-2
2020-07-10,-35.924421,2,B34
2020-07-10,2.99015,2,B4
2020-07-10,17.751297,2,B5
2020-07-10,60.102236,2,B6
2020-07-10,-104.52904,2,B7
2020-07-10,-35.492176,2,B8
2020-07-10,-16.213348,2,B9
2020-07-10,13.814107,2,C1
2020-07-10,-51.669521,2,C10
2020-07-10,-49.191635,2,C11
2020-07-10,-77.29317,2,C12-1
2020-07-10,-39.192622,2,C13-2
2020-07-10,-24.900338,2,C14
2020-07-10,-21.794759,2,C15
2020-07-10,-99.7407,2,C16
2020-07-10,-96.635121,2,C17
2020-07-10,-3.617328,2,C18
2020-07-10,-121.02371,2,C19
2020-07-10,-55.481802,2,C2
2020-07-10,-9.052093,2,C20
2020-07-10,-109.37779,2,C21
2020-07-10,-116.95569,2,C22
2020-07-10,-197.36913,2,C23
2020-07-10,-27.862464,2,C24
2020-07-10,-105.53467,2,C25-1
2020-07-10,-105.53467,2,C25-2
2020-07-10,114.18181,2,C26
2020-07-10,-371.8665,2,C27
2020-07-10,169.2816,2,C28
2020-07-10,428.03215,2,C29
2020-07-10,-0.833878,2,C3
2020-07-10,-30.140315,2,C30
2020-07-10,-39.286841,2,C31-1
2020-07-10,-39.286841,2,C31-2
2020-07-10,49.026057,2,C32-1
2020-07-10,49.026057,2,C32-2
2020-07-10,23.83994,2,C33-1
2020-07-10,23.83994,2,C33-2
