Date,Hour,Type,Solve Time
2020-07-16,4,SCED,0.297147
2020-07-16,5,SCED,0.272797
2020-07-16,6,SCED,0.303325
2020-07-16,7,SCED,0.283452
2020-07-16,8,SCED,0.287719
2020-07-16,9,SCED,0.310848
2020-07-16,10,SCED,0.281184
2020-07-16,11,SCED,0.291444
2020-07-16,12,SCED,0.281185
2020-07-16,13,SCED,0.288033
2020-07-16,14,SCED,0.288376
2020-07-16,15,SCED,0.303634
2020-07-16,16,SCED,0.286711
2020-07-16,17,SCED,0.279569
2020-07-16,18,SCED,0.296808
2020-07-16,19,SCED,0.288035
2020-07-16,20,SCED,0.341331
2020-07-16,21,SCED,0.295227
2020-07-16,22,SCED,0.319602
2020-07-16,23,SCED,0.287696
2020-07-16,24,SCED,0.290223
