Date,Dispatch,Dispatch DA,Generator,Headroom,Hour,Unit Cost,Unit Market Revenue,Unit State,Unit Uplift Payment
2020-07-10,0.0,,201_CT_1,0.0,6,0.0,,0,
2020-07-10,0.0,,201_CT_2,0.0,6,0.0,,0,
2020-07-10,30.0,,201_STEAM_3,46.0,6,823.76,,1,
2020-07-10,0.0,,202_CT_1,0.0,6,0.0,,0,
2020-07-10,0.0,,202_CT_2,0.0,6,0.0,,0,
2020-07-10,30.0,,202_STEAM_3,46.0,6,751.27,,1,
2020-07-10,30.0,,202_STEAM_4,46.0,6,751.27,,1,
2020-07-10,0.0,,207_CT_1,0.0,6,0.0,,0,
2020-07-10,0.0,,207_CT_2,0.0,6,0.0,,0,
2020-07-10,0.0,,213_CC_3,0.0,6,0.0,,0,
2020-07-10,0.0,,213_CT_1,0.0,6,0.0,,0,
2020-07-10,0.0,,213_CT_2,0.0,6,0.0,,0,
2020-07-10,0.0,,215_CT_4,0.0,6,0.0,,0,
