Curtailment,Date,Generator,Hour,Output,Output DA,Unit Market Revenue,Unit Uplift Payment
0.0,2020-07-10,118_RTPV_6,2,0.0,,,
0.0,2020-07-10,118_RTPV_7,2,0.0,,,
0.0,2020-07-10,118_RTPV_8,2,0.0,,,
0.0,2020-07-10,118_RTPV_9,2,0.0,,,
0.0,2020-07-10,119_PV_1,2,0.0,,,
0.0,2020-07-10,122_HYDRO_1,2,12.7,,,
0.0,2020-07-10,122_HYDRO_2,2,12.7,,,
0.0,2020-07-10,122_HYDRO_3,2,12.7,,,
0.0,2020-07-10,122_HYDRO_4,2,12.7,,,
0.0,2020-07-10,122_HYDRO_5,2,12.7,,,
0.0,2020-07-10,122_HYDRO_6,2,12.7,,,
0.0,2020-07-10,122_WIND_1,2,653.4,,,
0.0,2020-07-10,201_HYDRO_4,2,9.208333,,,
0.0,2020-07-10,212_CSP_1,2,0.0,,,
0.0,2020-07-10,213_RTPV_1,2,0.0,,,
0.0,2020-07-10,215_HYDRO_1,2,9.208333,,,
0.0,2020-07-10,215_HYDRO_2,2,9.208333,,,
0.0,2020-07-10,215_HYDRO_3,2,9.208333,,,
0.0,2020-07-10,215_PV_1,2,0.0,,,
0.0,2020-07-10,222_HYDRO_1,2,9.208333,,,
0.0,2020-07-10,222_HYDRO_2,2,9.208333,,,
0.0,2020-07-10,222_HYDRO_3,2,9.208333,,,
0.0,2020-07-10,222_HYDRO_4,2,9.208333,,,
0.0,2020-07-10,222_HYDRO_5,2,9.208333,,,
0.0,2020-07-10,222_HYDRO_6,2,9.208333,,,
0.0,2020-07-10,303_WIND_1,2,35.808333,,,
0.0,2020-07-10,308_RTPV_1,2,0.0,,,
-0.0,2020-07-10,309_WIND_1,2,131.125,,,
0.0,2020-07-10,310_PV_1,2,0.0,,,
0.0,2020-07-10,310_PV_2,2,0.0,,,
0.0,2020-07-10,312_PV_1,2,0.0,,,
0.0,2020-07-10,313_PV_1,2,0.0,,,
0.0,2020-07-10,313_PV_2,2,0.0,,,
0.0,2020-07-10,313_RTPV_1,2,0.0,,,
0.0,2020-07-10,313_RTPV_10,2,0.0,,,
0.0,2020-07-10,313_RTPV_11,2,0.0,,,
0.0,2020-07-10,313_RTPV_12,2,0.0,,,
0.0,2020-07-10,313_RTPV_13,2,0.0,,,
0.0,2020-07-10,313_RTPV_2,2,0.0,,,
0.0,2020-07-10,313_RTPV_3,2,0.0,,,
0.0,2020-07-10,313_RTPV_4,2,0.0,,,
0.0,2020-07-10,313_RTPV_5,2,0.0,,,
0.0,2020-07-10,313_RTPV_6,2,0.0,,,
0.0,2020-07-10,313_RTPV_7,2,0.0,,,
0.0,2020-07-10,313_RTPV_8,2,0.0,,,
0.0,2020-07-10,313_RTPV_9,2,0.0,,,
0.0,2020-07-10,314_PV_1,2,0.0,,,
0.0,2020-07-10,314_PV_2,2,0.0,,,
0.0,2020-07-10,314_PV_3,2,0.0,,,
0.0,2020-07-10,314_PV_4,2,0.0,,,
3e-06,2020-07-10,317_WIND_1,2,769.75833,,,
0.0,2020-07-10,319_PV_1,2,0.0,,,
0.0,2020-07-10,320_PV_1,2,0.0,,,
0.0,2020-07-10,320_RTPV_1,2,0.0,,,
0.0,2020-07-10,320_RTPV_2,2,0.0,,,
0.0,2020-07-10,320_RTPV_3,2,0.0,,,
0.0,2020-07-10,320_RTPV_4,2,0.0,,,
0.0,2020-07-10,320_RTPV_5,2,0.0,,,
0.0,2020-07-10,320_RTPV_6,2,0.0,,,
0.0,2020-07-10,322_HYDRO_1,2,37.445833,,,
0.0,2020-07-10,322_HYDRO_2,2,37.445833,,,
0.0,2020-07-10,322_HYDRO_3,2,37.445833,,,
0.0,2020-07-10,322_HYDRO_4,2,37.445833,,,
0.0,2020-07-10,324_PV_1,2,0.0,,,
0.0,2020-07-10,324_PV_2,2,0.0,,,
0.0,2020-07-10,324_PV_3,2,0.0,,,
0.0,2020-07-10,101_PV_1,3,0.0,,,
0.0,2020-07-10,101_PV_2,3,0.0,,,
0.0,2020-07-10,101_PV_3,3,0.0,,,
0.0,2020-07-10,101_PV_4,3,0.0,,,
0.0,2020-07-10,102_PV_1,3,0.0,,,
0.0,2020-07-10,102_PV_2,3,0.0,,,
0.0,2020-07-10,103_PV_1,3,0.0,,,
0.0,2020-07-10,104_PV_1,3,0.0,,,
0.0,2020-07-10,113_PV_1,3,0.0,,,
0.0,2020-07-10,118_RTPV_1,3,0.0,,,
0.0,2020-07-10,118_RTPV_10,3,0.0,,,
0.0,2020-07-10,118_RTPV_2,3,0.0,,,
0.0,2020-07-10,118_RTPV_3,3,0.0,,,
0.0,2020-07-10,118_RTPV_4,3,0.0,,,
0.0,2020-07-10,118_RTPV_5,3,0.0,,,
0.0,2020-07-10,118_RTPV_6,3,0.0,,,
0.0,2020-07-10,118_RTPV_7,3,0.0,,,
0.0,2020-07-10,118_RTPV_8,3,0.0,,,
0.0,2020-07-10,118_RTPV_9,3,0.0,,,
0.0,2020-07-10,119_PV_1,3,0.0,,,
-0.0,2020-07-10,122_HYDRO_1,3,13.241667,,,
-0.0,2020-07-10,122_HYDRO_2,3,13.241667,,,
-0.0,2020-07-10,122_HYDRO_3,3,13.241667,,,
-0.0,2020-07-10,122_HYDRO_4,3,13.241667,,,
-0.0,2020-07-10,122_HYDRO_5,3,13.241667,,,
-0.0,2020-07-10,122_HYDRO_6,3,13.241667,,,
3e-06,2020-07-10,122_WIND_1,3,628.50833,,,
0.0,2020-07-10,201_HYDRO_4,3,9.408333,,,
0.0,2020-07-10,212_CSP_1,3,0.0,,,
0.0,2020-07-10,213_RTPV_1,3,0.0,,,
0.0,2020-07-10,215_HYDRO_1,3,9.408333,,,
0.0,2020-07-10,215_HYDRO_2,3,9.408333,,,
0.0,2020-07-10,215_HYDRO_3,3,9.408333,,,
0.0,2020-07-10,215_PV_1,3,0.0,,,
0.0,2020-07-10,222_HYDRO_1,3,9.408333,,,
0.0,2020-07-10,222_HYDRO_2,3,9.408333,,,
0.0,2020-07-10,222_HYDRO_3,3,9.408333,,,
0.0,2020-07-10,222_HYDRO_4,3,9.408333,,,
0.0,2020-07-10,222_HYDRO_5,3,9.408333,,,
0.0,2020-07-10,222_HYDRO_6,3,9.408333,,,
-0.0,2020-07-10,303_WIND_1,3,87.066667,,,
0.0,2020-07-10,308_RTPV_1,3,0.0,,,
-0.0,2020-07-10,309_WIND_1,3,54.091667,,,
0.0,2020-07-10,310_PV_1,3,0.0,,,
0.0,2020-07-10,310_PV_2,3,0.0,,,
0.0,2020-07-10,312_PV_1,3,0.0,,,
0.0,2020-07-10,313_PV_1,3,0.0,,,
0.0,2020-07-10,313_PV_2,3,0.0,,,
0.0,2020-07-10,313_RTPV_1,3,0.0,,,
0.0,2020-07-10,313_RTPV_10,3,0.0,,,
0.0,2020-07-10,313_RTPV_11,3,0.0,,,
0.0,2020-07-10,313_RTPV_12,3,0.0,,,
0.0,2020-07-10,313_RTPV_13,3,0.0,,,
0.0,2020-07-10,313_RTPV_2,3,0.0,,,
0.0,2020-07-10,313_RTPV_3,3,0.0,,,
0.0,2020-07-10,313_RTPV_4,3,0.0,,,
0.0,2020-07-10,313_RTPV_5,3,0.0,,,
0.0,2020-07-10,313_RTPV_6,3,0.0,,,
0.0,2020-07-10,313_RTPV_7,3,0.0,,,
0.0,2020-07-10,313_RTPV_8,3,0.0,,,
0.0,2020-07-10,313_RTPV_9,3,0.0,,,
0.0,2020-07-10,314_PV_1,3,0.0,,,
0.0,2020-07-10,314_PV_2,3,0.0,,,
0.0,2020-07-10,314_PV_3,3,0.0,,,
0.0,2020-07-10,314_PV_4,3,0.0,,,
71.877657,2020-07-10,317_WIND_1,3,690.86401,,,
0.0,2020-07-10,319_PV_1,3,0.0,,,
0.0,2020-07-10,320_PV_1,3,0.0,,,
0.0,2020-07-10,320_RTPV_1,3,0.0,,,
0.0,2020-07-10,320_RTPV_2,3,0.0,,,
0.0,2020-07-10,320_RTPV_3,3,0.0,,,
0.0,2020-07-10,320_RTPV_4,3,0.0,,,
0.0,2020-07-10,320_RTPV_5,3,0.0,,,
0.0,2020-07-10,320_RTPV_6,3,0.0,,,
-0.0,2020-07-10,322_HYDRO_1,3,34.004167,,,
-0.0,2020-07-10,322_HYDRO_2,3,34.004167,,,
-0.0,2020-07-10,322_HYDRO_3,3,34.004167,,,
-0.0,2020-07-10,322_HYDRO_4,3,34.004167,,,
0.0,2020-07-10,324_PV_1,3,0.0,,,
0.0,2020-07-10,324_PV_2,3,0.0,,,
0.0,2020-07-10,324_PV_3,3,0.0,,,
0.0,2020-07-10,101_PV_1,4,0.0,,,
0.0,2020-07-10,101_PV_2,4,0.0,,,
0.0,2020-07-10,101_PV_3,4,0.0,,,
0.0,2020-07-10,101_PV_4,4,0.0,,,
0.0,2020-07-10,102_PV_1,4,0.0,,,
